Datalog report
05/08/2018 11:05:36
      Prog Name:    Main.xlsm
       Job Name:    Main.xlsm
            Lot:
       Operator:    Administrator
      Test Mode:
      Node Name:    IP750_CB7E
      Part Type:
    Channel map:    Channel Map
    Environment:

    Site Number:
         0

    Device#: 1

    5/8/2018 11:05:36 AM

    Wf :
    Coord : X:00 Y:00

 Number     Site  Result   Test Name                 Pin            Channel   Low            Measured       High           Force          Loc
 82          0    PASS     OS_Nch                    VREFNB_T       13        -1.2000 V      -417.1509 mV   -100.0000 mV   -100.0000 uA   0
 83          0    PASS     OS_Nch                    VREFNB_B       43        -1.2000 V      -418.6521 mV   -100.0000 mV   -100.0000 uA   0
 84          0    PASS     OS_Nch                    VRPGAB_T       12        -1.2000 V      -431.6001 mV   -100.0000 mV   -100.0000 uA   0
 85          0    PASS     OS_Nch                    VRPGAB_B       46        -1.2000 V      -421.6232 mV   -100.0000 mV   -100.0000 uA   0
 86          0    PASS     OS_Nch                    DKCLP          0         -1.2000 V      -439.8255 mV   -100.0000 mV   -100.0000 uA   0
 87          0    PASS     OS_Nch                    WHCLP          1         -1.2000 V      -438.9498 mV   -100.0000 mV   -100.0000 uA   0
 88          0    PASS     OS_Nch                    EXTS           2         -1.2000 V      -439.2625 mV   -100.0000 mV   -100.0000 uA   0
 89          0    PASS     OS_Nch                    EXTR           5         -1.2000 V      -446.1431 mV   -100.0000 mV   -100.0000 uA   0
 90          0    PASS     OS_Nch                    ATSTO1         6         -1.2000 V      -420.9665 mV   -100.0000 mV   -100.0000 uA   0
 91          0    PASS     OS_Nch                    ATSTO2         7         -1.2000 V      -430.5680 mV   -100.0000 mV   -100.0000 uA   0
 92          0    PASS     OS_Nch                    ATSTO_PLL      40        -1.2000 V      -441.7020 mV   -100.0000 mV   -100.0000 uA   0
 93          0    PASS     OS_Nch                    INCLK          48        -1.2000 V      -440.1695 mV   -100.0000 mV   -100.0000 uA   0
 94          0    PASS     OS_Nch                    SYSRSTN        50        -1.2000 V      -440.9201 mV   -100.0000 mV   -100.0000 uA   0
 95          0    PASS     OS_Nch                    SMSTSLV        54        -1.2000 V      -439.9193 mV   -100.0000 mV   -100.0000 uA   0
 96          0    PASS     OS_Nch                    WDR            56        -1.2000 V      -442.1399 mV   -100.0000 mV   -100.0000 uA   0
 97          0    PASS     OS_Nch                    CSN_SPI        32        -1.2000 V      -440.5761 mV   -100.0000 mV   -100.0000 uA   0
 98          0    PASS     OS_Nch                    CSN_TG         37        -1.2000 V      -441.4831 mV   -100.0000 mV   -100.0000 uA   0
 99          0    PASS     OS_Nch                    SCK            51        -1.2000 V      -440.0132 mV   -100.0000 mV   -100.0000 uA   0
 100         0    PASS     OS_Nch                    SDI            34        -1.2000 V      -442.8905 mV   -100.0000 mV   -100.0000 uA   0
 101         0    PASS     OS_Nch                    SDO            49        -1.2000 V      -440.5136 mV   -100.0000 mV   -100.0000 uA   0
 102         0    PASS     OS_Nch                    RCK            33        -1.2000 V      -440.9201 mV   -100.0000 mV   -100.0000 uA   0
 103         0    PASS     OS_Nch                    TDO0           55        -1.2000 V      -442.3588 mV   -100.0000 mV   -100.0000 uA   0
 104         0    PASS     OS_Nch                    TDO1           38        -1.2000 V      -442.2337 mV   -100.0000 mV   -100.0000 uA   0
 105         0    PASS     OS_Nch                    VSYC           53        -1.2000 V      -444.0789 mV   -100.0000 mV   -100.0000 uA   0
 106         0    PASS     OS_Nch                    VSYC1          35        -1.2000 V      -440.1070 mV   -100.0000 mV   -100.0000 uA   0
 107         0    PASS     OS_Nch                    HSYC           36        -1.2000 V      -441.6082 mV   -100.0000 mV   -100.0000 uA   0
 108         0    PASS     OS_Nch                    EVSYC          52        -1.2000 V      -440.2008 mV   -100.0000 mV   -100.0000 uA   0
 109         0    PASS     OS_Nch                    CKO1P          4         -1.2000 V      -435.1263 mV   -100.0000 mV   -100.0000 uA   0
 110         0    PASS     OS_Nch                    CKO1N          4         -1.2000 V      -437.0184 mV   -100.0000 mV   -100.0000 uA   0
 111         0    PASS     OS_Nch                    D1P_0          12        -1.2000 V      -438.6358 mV   -100.0000 mV   -100.0000 uA   0
 112         0    PASS     OS_Nch                    D1N_0          12        -1.2000 V      -438.0713 mV   -100.0000 mV   -100.0000 uA   0
 113         0    PASS     OS_Nch                    D1P_1          20        -1.2000 V      -438.1170 mV   -100.0000 mV   -100.0000 uA   0
 114         0    PASS     OS_Nch                    D1P_2          13        -1.2000 V      -436.8810 mV   -100.0000 mV   -100.0000 uA   0
 115         0    PASS     OS_Nch                    D1N_2          13        -1.2000 V      -435.5993 mV   -100.0000 mV   -100.0000 uA   0
 116         0    PASS     OS_Nch                    D1P_3          21        -1.2000 V      -436.2859 mV   -100.0000 mV   -100.0000 uA   0
 117         0    PASS     OS_Nch                    D1N_3          21        -1.2000 V      -434.5464 mV   -100.0000 mV   -100.0000 uA   0
 118         0    PASS     OS_Nch                    D1P_4          14        -1.2000 V      -436.4996 mV   -100.0000 mV   -100.0000 uA   0
 119         0    PASS     OS_Nch                    D1N_4          14        -1.2000 V      -435.4620 mV   -100.0000 mV   -100.0000 uA   0
 120         0    PASS     OS_Nch                    D1P_5          22        -1.2000 V      -437.0642 mV   -100.0000 mV   -100.0000 uA   0
 121         0    PASS     OS_Nch                    D1N_5          22        -1.2000 V      -435.4162 mV   -100.0000 mV   -100.0000 uA   0
 122         0    PASS     OS_Nch                    D1P_6          15        -1.2000 V      -439.3530 mV   -100.0000 mV   -100.0000 uA   0
 123         0    PASS     OS_Nch                    D1N_6          15        -1.2000 V      -434.6227 mV   -100.0000 mV   -100.0000 uA   0
 124         0    PASS     OS_Nch                    D1P_7          23        -1.2000 V      -435.0500 mV   -100.0000 mV   -100.0000 uA   0
 125         0    PASS     OS_Nch                    D1N_7          23        -1.2000 V      -434.6227 mV   -100.0000 mV   -100.0000 uA   0
 126         0    PASS     BS                        AV33           8         -5.0000 mA     152.3438 uA    10.0000 mA     300.0000 mV    0
 127         0    PASS     BS                        DV12           5         -5.0000 mA     -3.6074 mA     10.0000 mA     300.0000 mV    0
 128         0    PASS     BS                        SELL           20        -5.0000 mA     6.0430 mA      10.0000 mA     300.0000 mV    0
 129         0    PASS     BS                        TGL            22        -5.0000 mA     3.5371 mA      10.0000 mA     300.0000 mV    0
 130         0    FAIL     debug_Logic_Timing_Typ    Mst_SPIBLK_SDO_TSet149        0.0000         506.0000       0.0000         0.0000         0
 131         0    FAIL     debug_Logic_Timing_Typ    Mst_SPIBLK_SDO_TSet249        0.0000         760.0000       0.0000         0.0000         0
 132         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_TDO0_TSet155        0.0000         -32.5640 K     0.0000         0.0000         0
 133         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_TDO1_TSet138        0.0000         32.0100 K      0.0000         0.0000         0
 134         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_VSYC_TSet153        0.0000         32.5820 K      0.0000         0.0000         0
 135         0    FAIL     debug_Logic_Timing_Typ    Mst_TGBLK_HSYC_TSet136        0.0000         313.0000       0.0000         0.0000         0
